Brand,Series,Title,Price,Memory,Storage
Lenovo,IdeaPad Series,"Lenovo IdeaPad Slim 3 14IRU8 (13th Generation Intel Core i7 1355U Processor | 16GB RAM | 512GB SSD Storage | 14"" FHD (1920 x 1080) 16:9 Display | 1 Year Warranty)","रु 86,999.00",,
HP,Pavilion Series,HP Pavilion 15t-eg300 (Intel® Core™ i5-1335U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics Card | 15.6-inch FHD (1920 x 1080) Display | Fingerprint Scanner | Backlit Keyboard | 1 Year Warranty | Natural Silver),"रु 87,000.00",,
,,Lenovo IdeaPad Slim 3 14IRH8 (13th Generation Intel Core i7 13620H Processor | 16GB RAM | 512GB SSD | 14.0-inch FHD (1920 x 1080) Display | Intel UHD Graphics | 1 Year Warranty),"रु 87,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad 5 15ABA7 (AMD Ryzen 7 5825U Processor | 16GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6"" FHD (1920 x 1080) 100% sRGB IPS Display | Windows 11 Home | Backlit Keyboard & Fingerprint Reader | 1 Year Warranty)","रु 87,999.00",,
Apple,,"Apple 2024 Mac Mini Desktop Computer (M2 chip, 8GB Unified Memory, 256GB SSD Storage) | 1 year authorized warranty","रु 87,999.00",,
Acer,Aspire Series,"Acer Aspire 14 A14-51P (14th Generation Intel Core 5 120U Processor | 16GB RAM | 512GB SSD | 14"" WUXGA (1920 x 1200) IPS Display | 2 Years Warranty)","रु 88,999.00",,
ASUS,VivoBook Series,ASUS VivoBook X1504VA (Intel Core i5 1335U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 2 Years ASUS Authorized Warranty),"रु 89,000.00",,
Acer,Aspire Series,"Acer Aspire Spin 14 2024 (14th Generation Intel Core 5 120U Processor | 8GB RAM | 512GB SSD | 14"" WUXGA (1920 x 1200) IPS Touch Display | Windows 11 | 1 Year Warranty)","रु 89,499.00",,
HP,Victus Gaming Series,"HP Victus 15 (AMD Ryzen 5 7535HS Processor | 8GB RAM | 512GB SSD | AMD Radeon RX 6550M 4GB Graphics | 15.6"" FHD (1920 x 1080) 144Hz IPS Display | 1 Year Warranty)","रु 89,499.00",,
ACER,Nitro V 15 Series,"Acer Nitro V 15 2023 (13th Gen Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD Storage | 15.6"" FHD (1920 x 1080P) 144Hz IPS Display | NVIDIA RTX 2050 4GB Graphics Card | 1 Year Warranty)","रु 89,999.00",,
Hewlett-Packard (HP),Envy,[2024] HP Envy x360 14-ES0013dx (14th Gen Intel Core 5 120U Processor | 8GB RAM | 512GB SSD | 14″ FHD 2-in-1 Touch Screen Display | Fingerprint Reader),"रु 89,999.00",,
DELL,,"Dell Vostro 15 3520 (Intel Core i7 - 1255U Processor | 16GB RAM | 512GB SSD | Intel Graphics | 15.6"" FHD (1920 x 1080) Display | 1 Year Warranty)","रु 89,999.00",,
ASUS,VivoBook,ASUS VivoBook 14 X1404VA-EB149W (Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 14-inch FHD IPD Display | 2 Years Warranty),"रु 90,000.00",,
Lenovo,LOQ 15IRH8 Series,Lenovo LOQ 15IRH8 (12th Gen Intel Core i5 12450H Processor | 8GB DDR5 RAM | 512GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics Card | 15.6-inch FHD 144Hz Display | 1 Year Warranty),"रु 90,000.00",,
,,Lenovo IdeaPad Slim 3 15IRH8 (13th Generation Intel Core i7 13620H Processor | 16GB RAM | 512GB SSD | 15.6-inch FHD (1920 x 1080) Display | Intel UHD Graphics | 1 Year Warranty),"रु 90,000.00",,
Acer,,"Acer Aspire 5 A515-57G-566C (Intel Core i5 - 1235U Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce MX550 Graphics | 15.6"" FHD Display)","रु 90,000.00",,
Lenovo,LOQ Series,Lenovo LOQ 15ARP9 (AMD Ryzen 5 7235HS Processor | 12GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics Card | 15.6-inch FHD (1920 x 1080) 144Hz Display | 1 Year Warranty),"रु 91,999.00",,
Dell,Inspiron Series,"Dell Inspiron 7440 2-in-1 Laptop (14th Generation Intel Core 5 120U Processor | 8GB RAM | 512GB SSD Storage | Intel Graphics | 14"" FHD+ (1920 x 1200) Touch IPS Display | Windows 11 | 1 Year Warranty)","रु 91,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad Slim 3 14IRH10 (13th Gen Intel Core i7 13620H Processor | 16GB RAM | 512GB SSD Storage | 14"" WUXGA (1920 x 1200) IPS Display | Metallic Grey | 1 Year Warranty)","रु 91,999.00",,
DELL,,"Dell Inspiron 15 3530 (Intel Core i5 - 1335U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD Display )","रु 91,999.00",,
HP,Victus,HP Victus 15-FB1013DX (AMD Ryzen 5 7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD (1920 x 1080) 144Hz Display | 1 Year Warranty),"रु 92,000.00",,
Lenovo,Yoga Series,"2024's Lenovo Yoga 7 2-in-1 14AHP9 (AMD Ryzen 5 8640HS Processor | 8GB RAM | 512GB SSD | 14"" WUXGA (1920 x 1200) Multi-touch Display | Genuine Windows 11 Home)","रु 92,999.00",,
Lenovo,LOQ Series,"Lenovo LOQ 15IAX9E 2024 (Intel Core i5 12450HX Processor | 8GB RAM | 512GB SSD | RTX 2050 Graphics | 15.6"" FHD (1920 x 1080) 144Hz 100% sRGB IPS Display | 1 Year Warranty)","रु 92,999.00",,
ASUS,VivoBook,"ASUS VivoBook 14x M1405YA-LY098W (AMD Ryzen 7-7730U Processor| 8GB RAM | 512GB SSD | AMD Radeon Graphics | 14"" FHD WUXGA IPS Display | 2 Years Warranty)","रु 93,000.00",,
ASUS,VivoBook Series,"ASUS VivoBook 16 X1605VA-MB1652W (13th Gen Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 16"" WUXGA (1920 x 1200) IPS Display | 2 Years Authorized Warranty & 1 Year ASUS Perfect Warranty | Backpack & Wired Mouse)","रु 93,499.00",,
Acer,Nitro 5 Series,"Acer Nitro 5 2024 Gaming Laptop (Intel Core i5 12450H Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) 144Hz IPS Display | RTX 2050 4GB Graphics Card | Windows 11 Home | 4-Zone RGB Keyboard | 1 year Warranty)","रु 93,999.00",,
Dell,Inspiron Series,"Dell Inspiron 14 7445 2-in-1 Laptop (AMD Ryzen 5 8640HS Processor | 16GB RAM | 512GB SSD Storage | 14"" FHD+ (1920 x 1200) Touch IPS Display | AMD Radeon Graphics | Windows 11 | Fingerprint Reader | 2 Years Warranty)","रु 94,499.00",,
Acer,Aspire Series,Acer Aspire 5 15 (13th Gen Intel Core i5-13420H Processor | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics Card | 15.6-inch FHD IPS Slim bezel Display | 1 Year Warranty),"रु 94,999.00",,
Dell,Gaming Series,Dell G15 5511 Gaming Laptop (Intel Core i5 11400H Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 4GB Graphics Card | 15.6-inch FHD (1920 x 1080) IPS 120Hz Display | 1 Year Authorized Warranty),"रु 94,999.00",,
HP,Pavilion Series,"HP Pavilion Plus 14T-EH100 (Intel Core i5 13500H Processor | 16GB RAM | 512GB SSD | 14"" 2.2K (2240 x 1400) IPS Display | Intel Graphics | Fingerprint Reader & Backlit Keyboard | Windows 11 Home | 1 Year Warranty)","रु 94,999.00",,
HP,Pavilion Series,"HP Pavilion 15-eh3047nr (AMD Ryzen 7 7730U Processor | 16GB RAM | 512GB Storage | 15.6"" FHD (1920 x 1080) IPS Display | Windows 11 Home | 1 Year Warranty)","रु 94,999.00",,
Dell,Vostro Series,"Dell Vostro 3530 (Intel Core i7 1355U Processor | 8GB RAM | 512GB SSD | Intel Graphics | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 94,999.00",,
DELL,,"Dell Inspiron 14 5430 (Intel Core i5 - 1335U Processor | 8GB RAM | 1TB SSD | Intel Iris Xe | Finger Print Reader|14"" FHD+ Display |Backlit Keyboard)","रु 95,000.00",,
Lenovo,ThinkBook Series,Lenovo ThinkBook 13S (11th Gen Intel Core i7-1135G7 Processor | 8GB RAM | 512GB SSD Storage | 13.3-inch WUXGA (1920 x 1200) IPS Display | Intel Iris Xe Graphics Card | 1 Year Warranty),"रु 95,000.00",,
HP,Envy Series,"2024's HP Envy x360 14-FA0013 (AMD Ryzen 5 8640HS Processor | 16GB RAM | 512GB SSD | 14"" WUXGA (1920 x 1200) IPS Display | Backlit Keyboard | 1 Year Warranty)","रु 95,000.00",,
